,dest.dist,large.no,medium.no,small.no,all.no,all.pct,all.shortfall
supermarket.800,Supermarket,255,86,164,505,44.41512753,632
pharmacy.800,Pharmacy,130,57,146,333,29.28759894,804
post.800,Post office,63,37,75,175,15.39138083,962
gp.800,GP,225,85,268,578,50.8355321,559
mat.child.health.800,Maternal & child health centre,35,16,108,159,13.98416887,978
dentist.800,Dentist,192,54,182,428,37.64291996,709
childcare.800,Childcare centre,250,114,544,908,79.8592788,229
kindergarten.800,Kindergarten,50,37,246,333,29.28759894,804
primary.800,Primary school,80,49,290,419,36.85136324,718
comm.library.800,Community centre or library,42,16,75,133,11.69744943,1004
convenience.400,Convenience store or supermarket,13,2,200,215,18.90941073,922
rest.cafe.400,Restaurant or cafe,30,3,261,294,25.85751979,843
park.400,Local park,144,67,393,604,53.12225154,533
bus.400.tram.600.train.800,"Bus stop, tram stop or train station",245,95,596,936,82.32189974,201
acs,Number of ACs,294,136,707,1137,100,0
