NAME,LGA,supermarket,convenience_store,cafe,pharmacy,post,gp,maternal_child_health,dentist,childcare,kindergarten,primary,community_centre,park,bus
BANYULE,Banyule,0.378921824,1.162837163,1.137155527,0.387181487,0.386987738,3.701948052,0.234344141,3.69897471,0.416637782,0.401668794,0.426708018,0.475588917,1.254383117,0.916883117
BAYSIDE,Bayside,0.393855754,1.449121467,1.425737898,0.414640115,0.437870515,4.017068646,0.29816199,4.377179963,0.39004429,0.473673947,0.491081745,0.572123197,1.606847698,1.124675325
BOROONDARA,Boroondara,0.468735991,1.38995671,1.321289425,0.507446409,0.529262989,4.227142857,0.310112517,4.463924964,0.583092625,0.493741178,0.548413835,0.622898632,1.539177489,1.319480519
BRIMBANK,Brimbank,0.320188363,0.94014681,0.936012636,0.311239116,0.316900676,3.012779221,0.19565188,3.084890719,0.29994223,0.286455974,0.320726412,0.374065648,1.095426313,0.898845599
CARDINIA,Cardinia,0.121632865,0.54352744,0.586641929,0.102340094,0.151282718,1.267532468,0.097408928,1.23956044,0.140092432,0.16874675,0.180366427,0.184223966,0.751428571,0.53848257
CASEY,Casey,0.253273767,0.705556738,0.735100035,0.258697348,0.247745082,2.356168831,0.14120897,2.455519481,0.238070479,0.234179367,0.257149047,0.305206764,0.78023088,0.757431457
DAREBIN,Darebin,0.498266597,1.68459268,1.501437848,0.492577322,0.553282631,5.148051948,0.339109905,4.944784248,0.414917517,0.513930254,0.563939919,0.648174137,1.781506494,1.173160173
FRANKSTON,Frankston,0.3137513,0.813774105,0.798531903,0.302782111,0.29974199,2.901572112,0.188040299,2.751891587,0.284541691,0.298208292,0.327640574,0.371730522,0.916161616,0.68030303
GLEN EIRA,Glen Eira,0.573938747,1.667207792,1.737601933,0.641625665,0.612290943,5.951688312,0.393705991,5.22020202,0.660167533,0.670794332,0.735686704,0.774937523,1.975958925,1.45974026
GREATER DANDENONG,Greater Dandenong,0.404167595,1.176704545,1.184619302,0.417714356,0.400762697,3.7459268,0.248194198,3.950649351,0.374205661,0.392265256,0.40969093,0.486025349,1.396450216,0.825649351
HOBSONS BAY,Hobsons Bay,0.410204643,1.40143305,1.343544691,0.408259664,0.426234086,4.094326726,0.241507962,4.040197897,0.366888119,0.391649952,0.433320002,0.499976786,1.501534829,1.455844156
HUME,Hume,0.243560409,0.851015651,0.856590218,0.23717282,0.267350694,2.619556914,0.1600085,2.604823748,0.167713749,0.257025933,0.259788818,0.313817155,0.842475172,0.66038961
KINGSTON,Kingston,0.39819411,1.260982496,1.207083825,0.400881869,0.415085636,4.094326726,0.268503645,3.885714286,0.464940786,0.449540051,0.511403813,0.540420864,1.518528139,0.962857143
KNOX,Knox,0.245909836,0.793167702,0.784194529,0.279088664,0.287213989,2.735064935,0.169396598,2.542398778,0.282495667,0.299767229,0.282904872,0.357199691,0.915097403,0.733441558
MANNINGHAM,Manningham,0.319119431,1.098556999,1.032756133,0.327634772,0.338206121,3.097173415,0.209932715,2.490166976,0.269533507,0.322817357,0.37568131,0.4380078,1.146969697,0.823376623
MARIBYRNONG,Maribyrnong,0.419461778,1.703069658,1.744069264,0.547534629,0.568062723,3.628051948,0.355013,4.545165945,0.467937608,0.591306986,0.608838821,0.671935474,1.874458874,NA
MAROONDAH,Maroondah,0.288170657,0.97020202,0.867647908,0.28651066,0.296746156,2.697346132,0.183711216,2.562181818,0.256525393,0.282082394,0.338911134,0.367680514,0.956543457,0.814935065
MELBOURNE,Melbourne,1.007280291,3.733951763,6.422432113,1.130525221,2.215668627,8.835064935,1.100612068,19.167718,0.687102831,1.796531861,2.511120739,1.791387715,NA,3.584415584
MELTON,Melton,0.258060322,0.75574026,0.712704687,0.215184607,0.232904316,2.263203463,0.150633734,2.503246753,0.207105719,0.210983995,0.275129983,0.288755281,0.712727273,0.7283859
MERRI-BEK,Merri-bek,0.472278891,1.788134593,1.521428571,0.556589406,0.626211412,4.522847523,0.346546175,4.96206218,0.493183131,0.595129138,0.665900585,0.692983787,1.987624141,0.981818182
MONASH,Monash,0.379844241,1.095087521,1.115904385,0.393666147,0.382062068,3.625257501,0.239287768,3.637276237,0.364987936,0.386135972,0.411211838,0.483800632,1.247402597,0.948340548
MOONEE VALLEY,Moonee Valley,0.487837291,1.449969079,1.378571429,0.591882723,0.556129745,4.333441558,0.35612751,5.564213564,0.361014828,0.51023791,0.511120739,0.673044043,1.721298701,NA
MORNINGTON PENINSULA,Mornington Peninsula,0.212808512,0.802009311,0.855658627,0.228189128,0.243280076,2.002805195,0.14142278,2.207486631,0.242102831,0.21732536,0.267619873,0.271756621,0.91038961,0.629587804
NILLUMBIK,Nillumbik,0.184867395,0.762894249,0.753246753,0.195657826,0.223452938,2.379220779,0.133539162,2.07965368,0.198440208,0.210651759,0.291738879,0.264348391,0.731168831,NA
PORT PHILLIP,Port Phillip,1.00299012,3.069060351,3.275844156,1.308466884,1.166946678,5.711688312,0.812166303,9.160064935,0.81513576,1.240301612,1.378480647,1.936098473,4.6,NA
STONNINGTON,Stonnington,0.598652279,2.163059163,2.132241671,0.680283001,0.667030681,5.438961039,0.515283171,4.296392496,NA,0.634165367,0.841604958,0.896587585,2.333333333,NA
WHITEHORSE,Whitehorse,0.362401314,1.25978284,1.122650879,0.371684867,0.403109724,3.71002886,0.245908584,3.697483766,0.417572606,0.417432253,0.468804159,0.494017195,1.31965368,0.970779221
WHITTLESEA,Whittlesea,0.299871995,0.883178726,0.902947053,0.298262519,0.296807072,2.772727273,0.19005254,2.93283859,0.148324668,0.3035392,0.322588099,0.3796853,1.034343434,0.887337662
WYNDHAM,Wyndham,0.264083897,0.852793718,0.846984127,0.256590264,0.267550702,2.453946054,0.16586559,2.676555024,0.323656846,0.254095164,0.285536198,0.316031385,0.812012987,0.722820037
YARRA,Yarra,0.731097244,2.719952774,2.907674144,1.02448973,1.003612776,5.053246753,0.539131976,7.864502165,0.298093588,0.971436,0.588330445,1.0320117,4.646753247,2.981818182
YARRA RANGES,Yarra Ranges,0.096521639,0.490297937,0.46772137,0.118637871,0.122499567,0.912687313,0.077488603,1.022582973,0.061644068,0.115740492,0.143982886,0.147563878,0.517865918,0.522190853
